Country Name,Country Code,Series Name,Series Code,1960 ,1961 ,1962 ,1963 ,1964 ,1965 ,1966 ,1967 ,1968 ,1969 ,1970 ,1971 ,1972 ,1973 ,1974 ,1975 ,1976 ,1977 ,1978 ,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,..,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2461665937.89386,4128820723.04713,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20264253973.7858,20616104298.4975,19215562179.0117,19469022207.6852,20815300220.0428
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7773265083934,59.8781528089471,58.4928738323479,78.7827580362892,82.2084438594401,101.290471274167,137.899361896954,161.322000088481,129.506653844251,129.798541408375,157.187422389233,160.372835554154,136.117014381199,144.110318929266,174.94203831954,187.975604013726,199.026172729051,226.005343759305,249.287386261794,277.900741665078,274.880858701521,266.493041808705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.409690794955,187.845094955388,198.728543552291,219.141352785465,250.29412990949,272.563077018147,369.835795969823,373.361116300036,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.612543202424,629.345250369145,569.5779229167,561.77874627093,585.85006378237
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.2089996337891,34.435001373291,29.1790008544922,23.7959995269775,25.5,26.7439994812012,25.1599998474121,23.6790008544922,22.2549991607666,20.8099994659424,19.2159996032715,22.3460006713867,25.4409999847412,24.9440002441406,25.3600006103516,25.9939994812012,27.1520004272461,27.6800003051758,29.9570007324219,31.5380001068115,32.0849990844727,33.3419990539551,33.5870018005371,33.3639984130859,32.9300003051758,32.7519989013672,32.6679992675781
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888848.888889,560000022.222222,557777806.666667,766666706.666667,815555562.222222,1026666677.77778,1428888871.11111,1708888882.22222,1402222182.22222,1437777737.77778,1784444426.66667,1868886653.33333,1631108937.77778,1771108944.44444,2202222228.88889,2417777777.77778,2611111162.22222,3017777697.77778,3371111037.77778,3775743789.47368,3716553247.16553,3551514995.9596,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2461665937.89386,4119886416.1528,4576555882.85092,5293548731.13654,6286218431.77394,7100902255.45835,9873622504.18019,10233530169.0551,12540852406.0002,15998801042.3649,18130323162.7393,20848674602.161,20555156377.4287,20796211970.0053,19388573624.2688,19690022207.6852,21017148561.8162
Afghanistan,AFG,"International migrant stock, total",SM.POP.TOTL,46468,..,..,..,..,49535,..,..,..,..,53051,..,..,..,..,57043,..,..,..,..,59021,..,..,..,..,56118,..,..,..,..,57686,..,..,..,..,71522,..,..,..,..,75917,..,..,..,..,87300,..,..,..,..,102246,..,..,..,..,382365,..,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,0.00472256824217368,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.9,1.84,3.55,4,5,5.45454545454545,5.9,7,8.26,10.5957264186601,..
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3270825,3480811,3759162,4067992,4365798,4631347,4801781,4924653,5032304,5162557,5336840,5606987,5934968,6292828,6644955,6969404,7133722,7264788,7390836,7549815,7766590,8126681,8560749,9051268,9567711,10087598,10551800,10937230
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,..,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..,..,..,..,..,..,..,1689.403809,..,..,..,..,..,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1924242453.00929,1965384586.24229,2173750012.5,2156624900,2126000000,2335124987.5,2101624962.5,1139166645.83333,709452583.880319,1228071037.84446,1985673798.10258,2424499009.14264,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.97733,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12776277515.48,13228244357.1813,11386931489.7968,11883682170.8236,13039352743.9616
